muB,nB,energy,pressure,mue
4.709423470402853,6.854725043208239e-14,3.2074525649047405e-13,2.696428413490394e-20,0.002591920640597248
4.70942347924159,6.947365847810988e-14,3.2508009136314537e-13,2.757424649346614e-20,0.0025919382188859326
4.709423488159757,7.04125900569201e-14,3.2947352617413863e-13,2.819800779325404e-20,0.002591955955138496
4.709423497158066,7.13642145394873e-14,3.3392635344192143e-13,2.883588024153492e-20,0.002591973850774449
4.7094235062372345,7.232870358914983e-14,3.384393764113657e-13,2.948818310825562e-20,0.002591991907226061
4.709423515397993,7.330623119248223e-14,3.4301340919820435e-13,3.01552428658638e-20,0.002592010125938469
4.709423524641071,7.429697369092555e-14,3.4764927693703624e-13,3.083739342120664e-20,0.002592028508369799
4.709423533967207,7.530110981264789e-14,3.5234781593040656e-13,3.1534976159864464e-20,0.00259204705599128
4.709423543377152,7.631882070479719e-14,3.5710987379972454e-13,3.224834025989596e-20,0.0025920657702873597
4.70942355287166,7.735028996647142e-14,3.619363096395381e-13,3.297784277709513e-20,0.0025920846527558283
4.7094235624514855,7.839570368178168e-14,3.6682799417224093e-13,3.3723848846197465e-20,0.002592103704907934
4.709423572117399,7.945525045360819e-14,3.71785809906024e-13,3.4486731851393726e-20,0.0025921229282685056
4.709423581870174,8.052912143769108e-14,3.7681065129439317e-13,3.526687366845946e-20,0.0025921423243760746
4.70942359171059,8.161751037729296e-14,3.8190342489836147e-13,3.606466475001187e-20,0.0025921618947829985
4.709423601639435,8.272061363825164e-14,3.8706504955046814e-13,3.68805044426654e-20,0.002592181641055585
4.709423611657503,8.383863024445433e-14,3.9229645652076875e-13,3.771480110298108e-20,0.0025922015647742167
4.709423621765592,8.497176191395675e-14,3.9759858968584424e-13,3.856797232936522e-20,0.0025922216675334773
4.70942363196452,8.612021309547276e-14,4.0297240569954076e-13,3.944044517691676e-20,0.0025922419509422814
4.7094236422550955,8.728419100536808e-14,4.08418874166074e-13,4.033265635181293e-20,0.0025922624166240006
4.709423652638147,8.846390566521682e-14,4.139389778157601e-13,4.124505246366958e-20,0.0025922830662165955
4.7094236631145,8.965956993978316e-14,4.1953371268274144e-13,4.21780902062858e-20,0.0025923039013727453
4.709423673685002,9.087139957555991e-14,4.252040882853142e-13,4.3132236620235064e-20,0.0025923249237599804
4.7094236843504875,9.209961323995198e-14,4.30951127809278e-13,4.410796932135366e-20,0.0025923461350608173
4.709423695111821,9.33444325607376e-14,4.3677586829257904e-13,4.510577669853666e-20,0.0025923675369728914
4.709423705969855,9.460608216618573e-14,4.4267936081303095e-13,4.612615825135512e-20,0.0025923891312090927
4.709423716925462,9.58847897259499e-14,4.4866267067966167e-13,4.716962473328765e-20,0.0025924109194977057
4.709423727979525,9.718078599204074e-14,4.5472687762443414e-13,4.8236698482517075e-20,0.002592432903582544
4.709423739132913,9.849430484081094e-14,4.60873075998702e-13,4.9327913643598325e-20,0.0025924550852230925
4.709423750386535,9.982558331521865e-14,4.671023749709657e-13,5.044381645392154e-20,0.0025924774661946473
4.709423761741282,1.0117486166783467e-13,4.734158987281146e-13,5.158496551653404e-20,0.002592500048288458
4.70942377319807,1.0254238340425438e-13,4.79814786678558e-13,5.275193207637264e-20,0.0025925228333118703
4.709423784757811,1.0392839532737648e-13,4.863001936594148e-13,5.39453002828548e-20,0.002592545823088472
4.7094237964214285,1.053331475819938e-13,4.92873290145162e-13,5.516566754795752e-20,0.002592569019458238
4.709423808189857,1.0675689370012641e-13,4.995352624597574e-13,5.641364476106464e-20,0.002592592424277677
4.709423820064043,1.0819989064701835e-13,5.062873129918671e-13,5.768985667091769e-20,0.0025926160394199823
4.709423832044934,1.0966239886766516e-13,5.131306604125766e-13,5.899494213797616e-20,0.0025926398667751793
4.709423844133487,1.1114468233396884e-13,5.200665398960391e-13,6.032955449931702e-20,0.0025926639082502773
4.709423856330671,1.126470085927098e-13,5.270962033439438e-13,6.169436186532858e-20,0.0025926881657694243
4.7094238686374625,1.141696488138607e-13,5.342209196115883e-13,6.30900474777894e-20,0.0025927126412740573
4.709423881054843,1.157128778398441e-13,5.414419747383621e-13,6.451731002702382e-20,0.002592737336723061
4.709423893583815,1.172769742353917e-13,5.487606721810486e-13,6.597686403044256e-20,0.0025927622540929227
4.7094239062253695,1.1886222033787717e-13,5.561783330493436e-13,6.746944016674964e-20,0.002592787395377891
4.70942391898053,1.204689023086409e-13,5.636962963460112e-13,6.899578566130341e-20,0.0025928127625901355
4.709423931850309,1.2209731018484977e-13,5.713159192095488e-13,7.055666464078522e-20,0.002592838357759908
